ID_ref	Control 1	Control 2	Control 3	Control 4	Control 5	Control 6	Control 7	Control 8	Control 9	Control 10	Control 11	Control 12	Control 13	Control 14	DLBCL 1	DLBCL 2	DLBCL 3	DLBCL 4	DLBCL 5	DLBCL 6	DLBCL 7	DLBCL 8	DLBCL 9	DLBCL 10	DLBCL 11	DLBCL 12	DLBCL 13	DLBCL 14	DLBCL 15	DLBCL 16	DLBCL 17
hsa-miR-652-3p	31.12	33.60	32.01	32.08	30.39	31.50	31.36	31.20	32.74	31.06	30.76	29.95	31.61	30.64	30.80	24.40	25.59	27.16	24.74	25.75	28.41	29.73	25.41	27.46	27.51	26.05	25.76	27.34	24.85	23.98	25.85
hsa-miR-181a-5p	31.44	33.56	33.41	32.59	30.21	31.85	31.67	31.92	32.82	32.53	31.67	31.20	32.98	31.08	31.84	25.50	25.14	28.43	25.97	26.99	29.55	27.93	24.77	28.40	28.43	26.37	26.73	27.19	24.34	27.77	25.49
hsa-miR-221-3p	29.16	31.15	30.99	30.52	27.25	29.38	29.62	29.36	30.82	29.52	29.40	28.98	30.88	28.31	29.83	22.57	24.91	26.36	23.37	23.52	26.89	29.24	24.67	25.80	25.69	25.07	24.18	25.33	24.54	22.37	24.96
hsa-let-7f-5p	31.77	34.01	33.74	33.24	30.43	32.67	32.29	33.72	33.73	33.29	32.06	32.36	34.58	31.61	33.85	29.32	30.31	32.42	30.44	31.52	32.62	31.39	29.31	31.48	32.18	30.75	30.77	36.04	28.25	30.34	29.49
hsa-miR-27b-3p	32.04	32.63	31.94	31.63	30.49	31.87	31.29	32.34	32.03	30.93	32.74	30.47	31.77	30.47	31.75	24.06	27.63	28.97	26.44	27.00	29.37	30.14	26.78	29.81	29.42	27.23	26.89	28.24	25.36	25.27	25.48
hsa-miR-374b-5p	35.45	39.99	35.07	35.55	32.59	35.15	35.05	35.97	35.57	34.71	36.05	34.18	36.76	33.43	42.00	28.80	31.50	36.14	32.02	32.91	33.87	33.75	31.06	32.91	35.51	32.72	33.11	31.46	29.62	29.86	29.54
hsa-miR-93-5p	28.87	29.07	29.80	28.79	27.90	29.66	29.24	28.07	29.66	27.66	27.72	26.36	27.64	27.44	29.30	24.16	25.16	26.69	24.28	25.26	27.40	28.36	25.02	26.47	27.51	26.35	25.95	24.66	23.70	23.89	24.13
hsa-miR-200a-3p	40.18	42.00	40.06	40.06	39.68	34.53	42.00	42.00	39.85	36.63	42.00	42.00	39.89	42.00	42.00	36.00	42.00	42.00	42.00	42.00	34.82	39.13	36.17	42.00	42.00	37.78	39.59	36.60	34.55	35.90	36.01
hsa-miR-484	31.22	32.27	32.33	31.41	30.39	31.64	31.60	31.34	32.64	31.46	31.25	30.03	31.10	30.38	31.28	26.15	26.74	28.21	26.06	26.68	29.93	31.31	26.37	28.63	28.61	28.62	26.74	26.98	26.09	25.44	27.01
hsa-miR-106a-5p	29.20	30.23	29.86	29.61	27.65	29.51	29.67	28.75	30.05	27.83	27.92	26.39	28.45	27.54	30.22	22.98	24.65	26.77	24.52	25.04	26.73	27.82	24.56	26.18	26.80	25.80	25.33	24.39	23.51	23.42	23.88
hsa-miR-145-5p	33.24	32.96	32.61	32.80	31.18	42.00	32.02	32.60	33.65	32.31	32.70	32.89	33.45	31.84	32.68	25.72	27.56	32.05	26.75	28.56	30.99	31.42	27.00	42.00	39.79	29.61	29.34	39.45	25.06	25.99	26.99
hsa-miR-185-5p	31.72	32.65	32.46	31.94	32.24	31.65	31.90	31.34	32.49	30.58	29.78	29.43	30.19	30.07	32.42	24.92	42.00	26.90	27.31	28.05	29.54	29.95	25.83	28.91	31.64	28.30	27.53	36.34	24.85	25.91	25.45
hsa-miR-486-5p	27.53	27.16	27.13	26.35	26.81	27.20	27.01	26.08	27.67	26.79	26.26	25.68	26.21	26.21	26.45	22.84	22.26	21.89	24.69	25.33	25.27	26.14	21.88	23.77	25.79	24.83	24.29	23.03	21.92	23.41	22.30
hsa-miR-26a-5p	29.48	30.69	30.72	30.59	27.88	30.38	29.57	29.84	30.50	29.82	42.00	29.37	31.04	28.68	31.11	25.14	26.81	30.93	26.81	27.61	29.19	29.86	26.48	29.16	30.50	28.82	28.57	28.73	25.36	25.62	25.16
hsa-miR-143-3p	35.68	35.50	35.91	36.12	34.36	37.47	34.07	35.28	35.99	34.90	36.02	33.74	35.03	34.62	35.39	28.73	32.18	34.23	30.00	31.50	33.83	32.20	30.90	34.75	34.10	31.96	32.49	32.51	27.80	29.39	29.12
