"ID_REF"	"GSM3268052"	"GSM3268053"	"GSM3268054"	"GSM3268055"	"GSM3268056"	"GSM3268057"	"GSM3268058"	"GSM3268059"	"GSM3268060"	"GSM3268061"	"GSM3268062"	"GSM3268063"	"GSM3268064"	"GSM3268065"	"GSM3268066"	"GSM3268067"	"GSM3268068"	"GSM3268069"	"GSM3268070"	"GSM3268071"	"GSM3268072"	"GSM3268073"	"GSM3268074"	"GSM3268075"	"GSM3268076"	"GSM3268077"	"GSM3268078"	"GSM3268079"	"GSM3268080"	"GSM3268081"	"GSM3268082"
"cel-miR-39-3p"	17.26765178	28.4429658	15.88947993	14.4200074	5.897076869	19.56224444	10.55606329	14.72300241	25.45716748	16.1112888	20.11221399	18.63573738	32.67238802	10.19648502	21.70566924	0.329876978	0.632878297	2.770218936	0.473028823	0.91383145	4.531535541	10.056107	0.697371833	4.0278222	3.294364069	1.292352831	1.086734863	0.463294031	0.266092546	0.161544104	0.692554734
"hsa-let-7a-5p"	0.707106781	0.444421341	0.441351498	0.469761375	0.598739352	0.356012549	0.432268616	0.363493129	0.554784736	0.52850902	0.812252396	0.570381858	0.624165274	0.426317446	0.539614118	0.175555609	0.164938489	0.144586023	0.117440344	0.069830446	0.269807059	0.463294031	0.192109398	0.432268616	0.176776695	0.231647015	0.129408115	0.029769937	0.095391201	0.025033434	0.309926925
"hsa-let-7b-3p"	0.009685216	0.004876291	0.008608634	0.028755864	0.00401607	0.008974206	0.017098339	0.015197734	0.001262063	0.007238969	0.007546378	0.00219738	0.007139308	0.005562696	0.000258061	0.002472181	0.002879432	0.00364466	0.002939935	0.001362054	0.004613253	0.004910208	0.002762136	0.006524124	0.001410087	0.002724109	0.003569654	0.001343303	0.002506691	0.001619765	0.002559362
"hsa-let-7b-5p"	0.258816231	0.183010712	0.154963462	0.137738139	0.120742041	0.258816231	0.160428237	0.141610486	0.145591698	0.275476279	0.888842681	0.022718321	0.726986259	0.360982299	0.211686328	0.277392368	0.163799175	0.316439148	0.120742041	0.061213769	0.289172046	0.757858283	0.213158723	0.301451957	0.414659773	0.281264621	0.079109787	0.000509016	0.178006274	0.03742121	0.429282718
"hsa-let-7c"	0.023088741	0.023465202	0.01558894	0.015990217	0.013570961	0.014731008	0.01569737	0.018198962	0.032501873	0.010026765	0.020760716	0.007155823	0.021344379	0.013446116	0.016064279	0.004294383	0.00273041	0.003071871	0.003330605	0.00205497	0.011411772	0.039100567	0.001387465	0.010696876	0.006272835	0.007340021	0.005048253	0.004539241	0.003158233	0.000690534	0.01254567
"hsa-let-7d-3p"	0.153893052	0.167240944	0.156041319	0.133971683	0.13030822	0.140632311	0.144586023	0.204475515	0.151774361	0.181746565	0.167240944	0.083042863	0.339151082	0.156041319	0.131214585	0.111878134	0.125	0.062934722	0.161544104	0.116629124	0.148650889	0.119908015	0.119908015	0.181746565	0.10438599	0.189464571	0.137738139	0.10153155	0.114228931	0.072293011	0.085971364
"hsa-let-7d-5p"	0.116898906	0.047585527	0.057778104	0.031980434	0.070641837	0.041377778	0.033415625	0.0625	0.061497291	0.07588718	0.158219574	0.040761002	0.05366034	0.058856001	0.0238478	0.012662154	0.006059159	0.003942519	0.017701311	0.018241059	0.023958255	0.036230118	0.004507886	0.026521999	0.009980538	0.012006837	0.008088007	0.008648506	0.012459011	0.003799433	0.04190695
"hsa-let-7e-5p"	0.030819772	0.019103754	0.01175974	0.020333466	0.027393929	0.022876339	0.023195681	0.035896824	0.026460791	0.040107059	0.033261568	0.022405551	0.009957505	0.042101049	0.026278013	0.005013382	0.003001709	0.002577164	0.006801176	0.005154328	0.010380358	0.012516717	0.003262062	0.014179987	0.01551707	0.007546378	0.00464534	0.004128977	0.003472042	0.001161335	0.00567958
"hsa-let-7f-5p"	0.072293011	0.022718321	0.018073253	0.021944451	0.045122787	0.027969533	0.029157281	0.014680043	0.02179287	0.024518253	0.096054699	0.029157281	0.019777447	0.05041511	0.014477938	0.006215129	0.007442484	0.006003419	0.004100456	0.003721242	0.013415085	0.06515411	0.012516717	0.01845301	0.01175974	0.012006837	0.006172198	8.28E-05	0.013888167	0.001619765	0.010821168
"hsa-let-7g-5p"	0.26425451	0.190782401	0.190782401	0.170755032	0.281264621	0.163799175	0.196146024	0.183010712	0.231647015	0.25	0.732042848	0.266092546	0.277392368	0.225312616	0.091505356	0.106579361	0.087777805	0.115023456	0.05041511	0.032128557	0.314253344	0.784584098	0.059128603	0.231647015	0.042393885	0.161544104	0.055168937	0.078020659	0.08478777	0.028557233	0.176776695
"hsa-let-7i-3p"	0.000208644	0.000332736	5.90E-05	0.000752163	5.72E-05	4.34E-05	0.000100304	0.001114027	7.07E-05	0.000218512	0.000347669	0.000132046	0.000498541	0.000163699	0.000190226	0.002031367	0.00023637	0.000378697	0.000205297	0.000350897	0.000518513	0.001557376	3.91E-05	0.001309592	0.000198763	0.000832651	5.69E-05	0.000250425	0.001752139	0.000175043	0.000636891
"hsa-let-7i-5p"	0.25348987	0.132127255	0.10881882	0.117440344	0.164938489	0.13030822	0.100133735	0.149684838	0.135841858	0.183010712	0.517632462	0.291183397	0.5	0.213158723	0.116629124	0.105843164	0.081333866	0.124136562	0.072795849	0.096722812	0.180491149	0.271683716	0.105112052	0.149684838	0.076946526	0.141610486	0.076415017	0.11907975	0.094732285	0.045122787	0.145591698
