geneID,geneName,X1..1,X1..2,X1..3,X2..1,X2..2,X2..3,X3..1,X3..2,X3..3,X4..1,X4..2,X4..3
ENSMUSG00000109644,0610005C13Rik,1,4,0,5,6,3,6,3,3,2,2,0
ENSMUSG00000108652,0610006L08Rik,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000007777,0610009B22Rik,9,24,13,12,13,13,17,11,7,13,9,3
ENSMUSG00000086714,0610009E02Rik,1,10,5,4,0,4,3,7,0,8,2,4
ENSMUSG00000043644,0610009L18Rik,2,2,0,3,4,1,1,0,2,3,4,7
ENSMUSG00000042208,0610010F05Rik,67,108,62,54,127,73,55,163,92,89,122,74
ENSMUSG00000020831,0610010K14Rik,21,27,23,27,20,45,21,39,40,66,20,25
ENSMUSG00000089755,0610012D04Rik,4,11,4,6,0,6,1,3,6,2,3,0
ENSMUSG00000107002,0610012G03Rik,24,21,11,12,15,20,5,16,4,29,25,9
ENSMUSG00000046683,0610025J13Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000058706,0610030E20Rik,463,511,472,439,486,494,397,516,565,362,487,388
ENSMUSG00000099146,0610031O16Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000108236,0610033M10Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097882,0610038B21Rik,3,9,1,3,4,7,3,13,7,4,3,1
ENSMUSG00000058812,0610039K10Rik,0,2,0,1,2,4,4,0,0,0,0,0
ENSMUSG00000089889,0610040B10Rik,1,13,8,6,14,3,1,1,3,6,3,1
ENSMUSG00000087341,0610040F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000060512,0610040J01Rik,40,54,79,74,80,77,65,71,62,149,123,51
ENSMUSG00000087361,0610043K17Rik,1,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000114511,0710001A04Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097863,1010001B22Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000115547,1100001I12Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090066,1110002E22Rik,0,0,0,0,3,2,1,1,0,0,0,0
ENSMUSG00000097134,1110002J07Rik,0,2,3,0,0,1,1,2,0,14,1,0
ENSMUSG00000071456,1110002L01Rik,37,39,29,25,19,22,24,34,18,28,24,9
ENSMUSG00000102531,1110002O04Rik,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000106291,1110003F10Rik,4,0,1,2,4,1,1,1,0,4,3,2
ENSMUSG00000030663,1110004F10Rik,347,368,302,267,376,319,316,393,339,216,377,278
ENSMUSG00000107121,1110006O24Rik,8,20,6,8,8,6,0,1,9,9,11,5
ENSMUSG00000046119,1110008E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039195,1110008P14Rik,96,128,133,65,146,136,170,201,244,94,162,132
ENSMUSG00000045237,1110012L19Rik,12,11,5,6,13,25,12,19,24,13,15,1
ENSMUSG00000116164,1110013H19Rik,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000098659,1110015O18Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028441,1110017D15Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085151,1110018N20Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000112289,1110019B22Rik,0,1,0,1,0,3,0,0,0,1,0,1
ENSMUSG00000097616,1110019D14Rik,4,8,2,3,4,5,1,2,2,1,0,0
ENSMUSG00000097047,1110020A21Rik,3,0,1,9,1,0,1,0,10,0,0,0
ENSMUSG00000068073,1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103520,1110025M09Rik,25,13,21,13,26,14,8,11,19,28,23,10
ENSMUSG00000085972,1110028F11Rik,70,42,43,39,53,62,71,83,122,33,64,57
ENSMUSG00000099139,1110028F18Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000037971,1110032A03Rik,295,316,265,226,379,362,445,395,440,132,264,380
ENSMUSG00000046999,1110032F04Rik,0,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000099098,1110035H17Rik,5,4,4,3,2,7,3,2,0,3,8,0
ENSMUSG00000092203,1110038B12Rik,17,16,10,3,20,25,11,8,18,12,17,7
ENSMUSG00000063236,1110038F14Rik,14,10,8,15,13,11,3,15,3,16,7,10
ENSMUSG00000085457,1110046J04Rik,7,6,3,13,3,4,9,13,18,3,18,18
ENSMUSG00000040591,1110051M20Rik,21,16,14,13,26,25,11,7,16,30,17,36
ENSMUSG00000068067,1110057P08Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000035171,1110059E24Rik,31,40,49,17,49,57,26,47,40,37,27,27
ENSMUSG00000032551,1110059G10Rik,61,79,48,49,36,53,67,65,50,11,38,31
ENSMUSG00000105036,1110060G06Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000078570,1110065P20Rik,6,7,3,7,9,9,4,2,19,5,10,3
ENSMUSG00000111857,1190001M18Rik,3,2,0,0,0,1,0,0,0,0,0,1
ENSMUSG00000043687,1190005I06Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063320,1190007I07Rik,3,0,0,0,3,0,0,0,0,2,0,2
ENSMUSG00000110013,1190028D05Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000087684,1200007C13Rik,11,15,10,13,18,10,21,30,25,28,8,20
ENSMUSG00000097290,1300002E11Rik,29,38,29,37,43,25,71,42,39,23,46,51
ENSMUSG00000112545,1300014J16Rik,27,24,35,13,24,16,22,27,25,29,28,36
ENSMUSG00000033688,1300017J02Rik,81,130,105,102,126,106,201,261,398,62,87,111
ENSMUSG00000096221,1500002C15Rik,25,17,16,18,15,18,9,17,18,26,26,8
ENSMUSG00000097595,1500002F19Rik,0,0,1,0,0,0,0,1,3,5,0,1
ENSMUSG00000098912,1500004A13Rik,32,30,21,29,22,75,12,41,24,49,23,9
ENSMUSG00000104888,1500005C15Rik,10,10,4,9,16,20,15,9,9,16,15,15
ENSMUSG00000068099,1500009C09Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000087651,1500009L16Rik,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000072694,1500011B03Rik,98,151,107,78,98,83,101,132,100,59,99,93
ENSMUSG00000097247,1500012K07Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098702,1500015A07Rik,9,4,1,7,11,14,3,9,11,9,5,0
ENSMUSG00000094732,1500015L24Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097383,1500026H17Rik,5,11,3,0,4,6,10,3,31,0,5,14
ENSMUSG00000117718,1500032F14Rik,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000059631,1500035N22Rik,3,11,4,4,1,3,0,3,4,4,1,1
